SG_UF_ESCOLA,NO_MUNICIPIO_ESCOLA,NO_ESCOLA_EDUCACENSO,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_CN,NU_MEDIA_CH,NU_MEDIA_LP,NU_MEDIA_MT,NU_MEDIA_RED,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
PB,João Pessoa,ENE PROFª MARIA DO CARMO DE MIRANDA,2,1,51,0.0,41,80.39,534.77,438.75,491.38,437.22,492.2,Grupo 3,33.3,85.37,71.4,12.4,16.2,De 31 a 60 alunos
PB,João Pessoa,ESCOLA PROF RAMALHO,4,1,12,0.0,11,91.67,522.28,463.14,461.56,445.55,536.36,Grupo 3,0.0,72.73,,,,De 1 a 30 alunos
PB,João Pessoa,IFPB - CAMPUS JOAO PESSOA,1,1,239,8.0,200,83.68,616.95,529.89,568.1,560.61,644.8,Grupo 3,67.1,85.5,78.0,19.9,2.1,Maior que 90 alunos
PB,João Pessoa,COLEGIO GEO TAMBAU,4,1,244,0.0,237,97.13,630.09,569.99,567.71,619.23,714.85,Grupo 6,68.1,70.04,95.7,4.2,0.1,Maior que 90 alunos
PB,João Pessoa,COLEGIO E CURSO EVOLUCAO,4,1,64,0.0,60,93.75,650.34,614.15,574.43,689.2,779.0,Grupo 6,68.7,86.67,97.0,2.6,0.4,De 61 a 90 alunos
PB,João Pessoa,EXTERNATO SANTA DOROTEIA,4,1,12,0.0,12,100.0,566.17,522.02,514.37,541.7,640.0,Grupo 4,60.0,83.33,97.9,2.1,0.0,De 1 a 30 alunos
PB,João Pessoa,INSTITUTO DE EDUCACAO DA PARAIBA,2,1,118,0.0,74,62.71,529.15,439.43,473.13,411.4,522.16,Grupo 3,92.5,68.92,65.4,17.2,17.4,Maior que 90 alunos
PB,João Pessoa,INSTITUTO EDUCACIONAL PARAIBANO LTDA ME,4,1,118,0.0,116,98.31,594.65,513.94,544.05,522.75,655.86,Grupo 4,59.1,63.79,94.7,5.3,0.0,Maior que 90 alunos
PB,João Pessoa,INST EDUCACIONAL SANTOS DUMONT,4,1,39,0.0,35,89.74,569.6,510.34,535.14,488.0,668.57,Grupo 5,66.0,71.43,95.7,2.8,1.5,De 31 a 60 alunos
PB,João Pessoa,INSTITUTO JOAO XXIII,4,1,35,0.0,34,97.14,631.17,569.81,576.83,567.88,717.06,Grupo 5,77.1,94.12,100.0,0.0,0.0,De 31 a 60 alunos
