SG_UF_ESCOLA,NO_MUNICIPIO_ESCOLA,NO_ESCOLA_EDUCACENSO,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_MT,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
MS,Bonito,EE LUIZ DA COSTA FALCAO,2,1,82,1.0,48,58.54,452.03,Grupo 4,67.6,79.17,70.9,17.9,11.2,De 61 a 90 alunos
MS,Caracol,EE DR RUBENS DE CASTRO PINTO,2,1,36,0.0,18,50.0,452.17,Grupo 3,53.4,94.44,73.5,12.7,13.8,De 31 a 60 alunos
MS,Guia Lopes da Laguna,EE ALZIRO LOPES,2,1,61,0.0,36,59.02,418.69,Grupo 3,60.7,94.44,84.0,13.2,2.8,De 61 a 90 alunos
MS,Guia Lopes da Laguna,EE SALOME DE MELO ROCHA,2,1,59,0.0,48,81.36,469.83,Grupo 4,68.8,64.58,92.6,6.1,1.3,De 31 a 60 alunos
MS,Jardim,EE ANTONIO PINTO PEREIRA,2,1,85,2.0,60,70.59,444.02,Grupo 3,69.4,70.0,87.6,6.2,6.2,De 61 a 90 alunos
MS,Jardim,EE CEL JUVENCIO,2,1,15,0.0,11,73.33,451.25,Grupo 4,71.2,63.64,90.2,6.5,3.3,De 1 a 30 alunos
MS,Jardim,EE CEL PEDRO JOSE RUFINO,2,1,109,0.0,79,72.48,455.58,Grupo 4,62.7,82.28,87.0,8.2,4.8,Maior que 90 alunos
MS,Jardim,ESCOLA GIRASSOL,4,1,23,0.0,21,91.3,448.26,Grupo 4,61.5,38.1,100.0,0.0,0.0,De 1 a 30 alunos
MS,Nioaque,EE ODETE IGNEZ RESSTEL VILLAS BOAS,2,1,93,2.0,55,59.14,413.91,Grupo 3,47.0,90.91,77.8,13.7,8.5,Maior que 90 alunos
MS,Amambai,COLEGIO CELQ,4,1,12,0.0,12,100.0,575.0,Grupo 5,38.5,75.0,100.0,0.0,0.0,De 1 a 30 alunos
MS,Amambai,EE DR FERNANDO CORREA DA COSTA,2,1,55,3.0,38,69.09,487.91,Grupo 4,82.1,73.68,62.7,32.8,4.5,De 31 a 60 alunos
MS,Amambai,EE VESPASIANO MARTINS,2,1,84,2.0,52,61.9,462.05,Grupo 3,85.8,76.92,70.6,19.4,10.0,De 61 a 90 alunos
MS,Amambai,EE CEL FELIPE DE BRUM,2,1,35,2.0,25,71.43,461.98,Grupo 3,66.7,52.0,59.6,40.4,0.0,De 31 a 60 alunos
MS,Amambai,EE DOM AQUINO CORREA,2,1,37,0.0,37,100.0,577.31,Grupo 5,53.8,97.3,78.3,21.0,0.7,De 31 a 60 alunos
MS,Antônio João,EE PANTALEAO COELHO XAVIER,2,1,99,0.0,52,52.53,425.59,Grupo 3,44.2,76.92,73.3,3.6,23.1,Maior que 90 alunos
MS,Aral Moreira,EE JOAO VITORINO MARQUES,2,1,37,0.0,31,83.78,432.89,Grupo 3,63.5,67.74,82.8,17.2,0.0,De 31 a 60 alunos
MS,Caarapó,EE PROFª CLEUZA APARECIDA VARGAS GALHARDO,2,1,119,1.0,81,68.07,453.16,Grupo 4,72.8,82.72,74.7,19.4,5.9,Maior que 90 alunos
MS,Caarapó,EE PROF JOAQUIM ALFREDO SOARES VIANNA,2,1,72,1.0,43,59.72,448.19,Grupo 3,73.8,72.09,83.9,16.1,0.0,De 61 a 90 alunos
MS,Caarapó,EE FREI JOAO DAMASCENO,2,2,12,0.0,11,91.67,420.94,Grupo 3,69.2,81.82,94.1,5.9,0.0,De 1 a 30 alunos
MS,Dourados,ESCOLA DO SESI DOURADOS,4,1,22,0.0,22,100.0,528.75,Grupo 4,65.3,86.36,98.0,2.0,0.0,De 1 a 30 alunos
MS,Dourados,EE CASTRO ALVES,2,1,21,0.0,12,57.14,420.58,Grupo 5,71.4,100.0,90.1,7.0,2.9,De 1 a 30 alunos
MS,Dourados,EE FLORIANO VIEGAS MACHADO,2,1,183,2.0,151,82.51,461.39,Grupo 3,84.8,74.17,80.9,8.7,10.4,Maior que 90 alunos
MS,Dourados,EE PRES TANCREDO NEVES,2,1,158,1.0,94,59.49,430.55,Grupo 3,81.6,74.47,61.2,15.0,23.8,Maior que 90 alunos
MS,Dourados,EE MENODORA FIALHO DE FIGUEIREDO,2,1,161,2.0,98,60.87,452.26,Grupo 3,76.2,68.37,76.2,22.7,1.1,Maior que 90 alunos
MS,Dourados,EE MIN JOAO PAULO DOS REIS VELOSO,2,1,152,5.0,107,70.39,451.86,Grupo 3,75.4,73.83,52.2,31.0,16.8,Maior que 90 alunos
MS,Dourados,EE PRES VARGAS,2,1,157,4.0,144,91.72,513.43,Grupo 4,80.5,67.36,84.2,13.9,1.9,Maior que 90 alunos
MS,Dourados,EE VILMAR VIEIRA MATOS,2,1,79,0.0,54,68.35,430.39,Grupo 4,68.3,66.67,68.9,17.4,13.7,De 61 a 90 alunos
MS,Dourados,ESCOLA FRANCISCANA IMACULADA CONCEICAO,4,1,101,1.0,96,95.05,555.61,Grupo 5,77.0,85.42,97.0,2.4,0.6,Maior que 90 alunos
MS,Dourados,EE ANTONIA DA SILVEIRA CAPILE,2,1,214,2.0,147,68.69,461.18,Grupo 3,75.2,78.91,75.6,12.1,12.3,Maior que 90 alunos
MS,Dourados,EE RAMONA DA SILVA PEDROSO,2,1,28,0.0,22,78.57,461.41,Grupo 4,70.4,86.36,83.2,16.8,0.0,De 1 a 30 alunos
MS,Dourados,EE PROFª FLORIANA LOPES,2,1,106,1.0,66,62.26,443.21,Grupo 4,80.7,53.03,61.4,18.5,20.1,Maior que 90 alunos
MS,Dourados,COLEGIO ANGLO UNIGRAN,4,1,104,0.0,92,88.46,528.05,Grupo 5,73.5,70.65,91.1,8.9,0.0,Maior que 90 alunos
MS,Dourados,EE DOM BOSCO,2,2,35,0.0,31,88.57,458.62,Grupo 3,68.9,67.74,86.2,7.6,6.2,De 31 a 60 alunos
MS,Dourados,EE PRES GETULIO VARGAS,2,1,48,0.0,30,62.5,426.8,Grupo 3,69.7,76.67,76.8,10.2,13.0,De 31 a 60 alunos
MS,Fátima do Sul,EE VILA BRASIL,2,1,16,5.0,11,68.75,418.13,Grupo 4,100.0,72.73,90.9,3.6,5.5,De 1 a 30 alunos
MS,Fátima do Sul,EE SEN FILINTO MULLER,2,1,32,0.0,25,78.13,489.06,Grupo 4,98.7,76.0,89.1,7.7,3.2,De 31 a 60 alunos
MS,Fátima do Sul,EE VICENTE PALLOTTI,2,1,82,0.0,56,68.29,441.96,Grupo 4,95.5,69.64,84.4,4.9,10.7,De 61 a 90 alunos
MS,Fátima do Sul,EE JONAS BELARMINO DA SILVA,2,2,33,3.0,24,72.73,447.7,Grupo 3,52.2,95.83,80.5,19.5,0.0,De 31 a 60 alunos
MS,Itaporã,EE SEN SALDANHA DERZI,2,2,16,0.0,11,68.75,431.62,Grupo 3,72.9,100.0,67.0,8.8,24.2,De 1 a 30 alunos
MS,Laguna Carapã,EE ALVARO MARTINS DOS SANTOS,2,1,57,0.0,35,61.4,444.97,Grupo 3,36.8,94.29,82.1,6.9,11.0,De 31 a 60 alunos
MS,Maracaju,EE MANOEL FERREIRA DE LIMA,2,1,88,0.0,65,73.86,422.77,Grupo 4,67.2,80.0,72.6,20.8,6.6,De 61 a 90 alunos
MS,Maracaju,EE PADRE CONSTANTINO DE MONTE,2,1,79,3.0,58,73.42,433.54,Grupo 3,61.2,75.86,72.7,21.5,5.8,De 61 a 90 alunos
MS,Maracaju,EE CAMBARAI,2,1,83,0.0,62,74.7,422.56,Grupo 3,59.0,75.81,71.8,17.6,10.6,De 61 a 90 alunos
MS,Nova Alvorada do Sul,EE ANTONIO COELHO,2,1,83,0.0,57,68.67,436.52,Grupo 3,61.3,82.46,80.4,16.5,3.1,De 61 a 90 alunos
MS,Ponta Porã,COLEGIO TOTAL,4,1,13,0.0,13,100.0,622.12,Grupo 5,77.2,69.23,85.7,14.3,0.0,De 1 a 30 alunos
MS,Ponta Porã,EE ADE MARQUES,2,1,145,0.0,90,62.07,424.43,Grupo 4,67.1,71.11,71.1,22.5,6.4,Maior que 90 alunos
MS,Ponta Porã,EE DEP FERNANDO C CAPIBERIBE SALDANHA,2,1,71,0.0,43,60.56,447.3,Grupo 3,73.7,74.42,75.1,12.8,12.1,De 61 a 90 alunos
